Jahr;Nr;Interpret;Song
1955;1;Big Joe Turner;Flip Flop And Fly
1955;2;The El Dorados;(Crazy Little Mama) At My Front Door
1955;3;Elvis Presley;Mystery Train
1955;4;Bobby Charles;Later Alligator
1955;5;Evelyn Künneke;Du bist ein Tiger
1955;6;The Four Freshmen;Speak Low
1955;7;Smiley Lewis;I Hear You Knocking
1955;8;Caterina Valente / Orchester Mike Firestone;Ganz Paris träumt von der Liebe
1955;9;Julie London;Cry Me A River
1955;10;Dean Martin;Memories Are Made Of This
1955;11;Chet Baker;Let's Get Lost
1955;12;Tennessee Ernie Ford;Sixteen Tons
1955;13;Johnny Cash And The Tennessee Two;Hey, Porter
1955;14;Chuck Berry;Maybellene
1955;15;Bo Diddley;Bo Diddley
1955;16;Muddy Waters;Mannish Boy
1955;17;Eddie Constantine;Schenk deiner Frau doch hin und wieder rote Rosen
1955;18;Sam Cooke & The Soul Stirrers;The Last Mile Of The Way
1955;19;Roy Hamilton;Unchained Melody
1955;20;Guitar Slim;The Things That I Used To Do
1956;1;"Clarence ""Frogman"" Henry";Ain't Got No Home
1956;2;Wanda Jackson;Baby Loves Him
1956;3;Roy Orbison And Teen Kings;Ooby Dooby
1956;4;Little Richard And His Band;Rip It Up
1956;5;Ray Charles;Lonely Avenue
1956;6;Peter Kraus;Die Straße der Vergessenen
1956;7;Elvis Presley;Don't Be Cruel
1956;8;Johnny Cash;I Walk The Line
1956;9;Gene Vincent;Be-Bop-A-Lula
1956;10;Doris Day;Whatever Will Be, Will Be (Que sera, sera)
1956;11;James Brown;Please, Please, Please
1956;12;Aretha Franklin;Precious Lord (Part One)
1956;13;Shirley And Lee;Let The Good Times Roll
1956;14;Carl Perkins;Blue Suede Shoes
1956;15;The Johnny Burnette Trio;The Train Kept A-Rollin'
1956;16;The Cadets;Stranded In The Jungle
1956;17;Bo Diddley;Who Do You Love
1956;18;The Lonnie Donegan Skiffle Group;Rock Island Line
1956;19;The Drifters;Ruby Baby
1956;20;Chuck Willis;It's Too Late
1957;1;Mose Allison;Young Man's Blues
1957;2;Fats Domino;Blue Monday
1957;3;Bobby Day And The Satellites;Little Bitty Pretty One
1957;4;Larry Williams;Short Fat Fannie
1957;5;Jerry Lee Lewis;Whole Lotta Shakin' Goin' On
1957;6;Warren Smith;Red Cadillac And A Black Moustache
1957;7;Richard Berry And The Pharaohs;Louie Louie
1957;8;Robert Mitchum;What Is This Generation Coming To?
1957;9;Harry Belafonte;Island In The Sun
1957;10;"Huey ""Piano"" Smith & The Clowns";Rockin' Pneumonia And The Boogie Woogie Flu
1957;11;Gene Vincent;Cruisin'
1957;12;The Vipers Skiffle Group;Don't You Rock Me Daddy-O
1957;13;Evelyn Künneke;Der Mann mit dem Rock'n'Roll-Pullover
1957;14;"Bobby ""Blue"" Bland";Farther Up The Road
1957;15;Otis Rush & Willie Dixon Band;Three Times A Fool
1957;16;Bill Riley & His Little Green Man;Flying Saucers Rock & Roll
1957;17;Buddy Holly And The Crickets;That'll Be The Day
1957;18;The Everly Brothers;Bye Bye Love
1957;19;Judy Garland;Happy New Year
1957;20;Elvis Presley;Young And Beautiful
1958;1;Lloyd Price;Stagger Lee
1958;2;Elvis Presley;One Night
1958;3;Ivan;Real Wild Child
1958;4;Johnnie Taylor & The Soul Stirrers;The Love Of God
1958;5;Nina Simone;My Baby Just Cares For Me
1958;6;Ruth Brown;This Little Girl's Gone Rockin'
1958;7;Perez Prado;Patricia
1958;8;Tommy Edwards;It's All In The Game
1958;9;Chris Howland;Fräulein
1958;10;Jody Reynolds;Endless Sleep
1958;11;Domenico Modugno;Nel blu dipinto di blu
1958;12;Dion & The Belmonts;I Wonder Why
1958;13;Don Gibson;Oh Lonesome Me
1958;14;Ronnie Self;Bop-A-Lena
1958;15;Chuck Berry;Johnny B. Goode
1958;16;The Johnny Otis Show;Willie & The Hand Jive
1958;17;Howlin' Wolf;Moanin' For My Baby
1958;18;James Brown;Try Me
1958;19;Jerry Butler & The Impressions;For Your Precious Love
1958;20;Chuck Willis;Hang Up My Rock'N'Roll Shoes
1959;1;Frankie Ford;Sea Cruise
1959;2;George Jones;White Lightning
1959;3;The Clovers;Love Potion No. 9
1959;4;The Isley Brothers;Shout
1959;5;Dalida;Am Tag als der Regen kam
1959;6;Luiz Bonfá;Manha de carnaval
1959;7;The Drifters;There Goes My Baby
1959;8;Bo Diddley;Say Man
1959;9;Sandy Nelson;Teen Beat
1959;10;Ronnie Hawkins And The Hawks;Forty Days
1959;11;The Falcons;You're So Fine
1959;12;Dinah Washington;What A Diff'rence A Day Makes
1959;13;Martin Denny;Quiet Village
1959;14;The Staple Singers;Uncloudy Day
1959;15;Phil Phillips & The Twilights;Sea Of Love
1959;16;The Wailers;Tall Cool One
1959;17;Freddy Cannon;Tallahassee Lassie
1959;18;Bobby Darin;Mack The Knife
1959;19;Sarah Vaughan;Broken Hearted Melody
1959;20;The Miracles;Bad Girl
1960;1;Bert Kaempfert und sein Orchester;Wunderland bei Nacht
1960;2;Fats Domino;Walking To New Orleans
1960;3;Barrett Strong;Money (That's What I Want)
1960;4;The Ventures;Walk - Don't Run
1960;5;Johnny Kidd And The Pirates;Shakin' All Over
1960;6;Hank Thompson;A Six Pack To Go
1960;7;Serge Gainsbourg;Judith
1960;8;Sérgio Ricardo;Máxima culpa
1960;9;Jesse Belvin;Blues In The Night
1960;10;Elvis Presley;Reconsider Baby
1960;11;Link Wray;Comanche
1960;12;Ike & Tina Turner;A Fool In Love
1960;13;Aaron Neville;Over You
1960;14;Wanda Jackson;Let's Have A Party
1960;15;The Kingston Trio;Bad Man Blunder
1960;16;Loretta Lynn;I'm A Honky Tonk Girl
1960;17;Brenda Lee;Sweet Nothin's
1960;18;Jerry Butler;He Will Break Your Heart
1960;19;Eddie Cochran;Three Steps To Heaven
1960;20;Juliette Gréco;Il n'y a plus d'après
1961;1;The Mar-Keys;Last Night
1961;2;Ike & Tina Turner;It's Gonna Work Out Fine
1961;3;Bobby Lewis;Tossin' And Turnin'
1961;4;Joey Dee And The Starliters;Peppermint Twist
1961;5;The Ventures;Driving Guitars (Ventures' Twist)
1961;6;Del Shannon;Runaway
1961;7;Dion;The Wanderer
1961;8;Bobby Bland;St. James Infirmary
1961;9;Patsy Cline;I Fall To Pieces
1961;10;Ben E. King;Stand By Me
1961;11;Elvis Presley;Can't Help Falling In Love
1961;12;Julie London;Daddy
1961;13;Esquivel;Harlem Nocturne
1961;14;The Shadows;Kon-Tiki
1961;15;Tony Sheridan;My Bonnie (Mein Herz ist bei dir nur)
1961;16;The Marvelettes;Please Mr. Postman
1961;17;Chris Kenner;Like It Like That
1961;18;Lee Dorsey;Ya Ya
1961;19;Jimmy Reed;Bright Lights, Big City
1961;20;Timi Yuro;Hurt
1962;1;Quincy Jones;Soul Bossa Nova
1962;2;Ernie Maresca;Shout! Shout! (Knock Yourself Out)
1962;3;Little Eva;The Loco-Motion
1962;4;The Cookies;Chains
1962;5;Mary Wells;You Beat Me To The Punch
1962;6;Solomon Burke;Cry To Me
1962;7;Little Stevie Wonder;Frankie And Johnny
1962;8;King Curtis & The Noble Knights;Soul Twist
1962;9;Gene Chandler;Duke Of Earl
1962;10;Willie Nelson;Touch Me
1962;11;The Fleetwoods;Lovers By Night, Strangers By Day
1962;12;Helen Shapiro;Keep Away From Other Girls
1962;13;B. Bumble & The Stingers;Nut Rocker
1962;14;The Contours;Do You Love Me
1962;15;Booker T. & The M.G.'s;Green Onions
1962;16;Jimmy Cliff;Miss Jamaica
1962;17;The Sentinals;Latin'ia
1962;18;The Beach Boys;Surfin' Safari
1962;19;The Miracles;You've Really Got A Hold On Me
1962;20;The Tornados;Telstar
1963;1;The Chantays;Pipeline
1963;2;The Kingsmen;Louie Louie
1963;3;Buck Owens & His Buckaroos;Act Naturally
1963;4;Jackie Wilson;Baby Workout
1963;5;Dusty Springfield;I Only Want To Be With You
1963;6;Lesley Gore;You Don't Own Me
1963;7;The Beach Boys;In My Room
1963;8;Henry Mancini;It Had Better Be Tonight
1963;9;The Searchers;Sweets For My Sweet
1963;10;Billy J. Kramer & The Dakotas;I'll Keep You Satisfied
1963;11;Skeeter Davis;The End Of The World
1963;12;Sonny Boy Williamson [II];Help Me
1963;13;Rufus Thomas;Walking The Dog
1963;14;Dionne Warwick;Anyone Who Had A Heart
1963;15;Johnny Cash;Ring Of Fire
1963;16;Jorge Ben;Mas que nada
1963;17;Kyu Sakamoto;Sukiyaki
1963;18;Rita Pavone;Wenn ich ein Junge wär'
1963;19;Martha Reeves & The Vandellas;(Love Is Like A) Heat Wave
1963;20;Gerry & The Pacemakers;You'll Never Walk Alone
1964;1;Marvin Gaye;Baby Don't You Do It
1964;2;The High Numbers;I'm The Face
1964;3;Roy Orbison;Oh, Pretty Woman
1964;4;The Rivieras;California Sun
1964;5;Jan & Dean;Dead Man's Curve
1964;6;Solomon Burke;Everybody Needs Somebody To Love
1964;7;The Premiers;Farmer John
1964;8;Irma Thomas;Wish Someone Would Care
1964;9;O.V. Wright with The Keys;That's How Strong My Love Is
1964;10;Marianne Faithfull;As Tears Go By
1964;11;Stan Getz & Astrud Gilberto;The Girl From Ipanema
1964;12;The Holy Modal Rounders;Hesitation Blues
1964;13;Millie;My Boy Lollipop
1964;14;The Supremes;Where Did Our Love Go
1964;15;Otis Redding;Mr. Pitiful
1964;16;Die Sputniks;Sputnik-Thema
1964;17;Drafi Deutscher And His Magics;Shake Hands
1964;18;The Drifters;Under The Boardwalk
1964;19;Horace Silver;Song For My Father
1964;20;The Four Tops;Baby I Need Your Loving
1965;1;The Impressions;People Get Ready
1965;2;Frank Wilson;Do I Love You (Indeed I Do)
1965;3;The Lovin' Spoonful;Do You Believe In Magic
1965;4;The Byrds;I'll Feel A Whole Lot Better
1965;5;The Skatalites;Knock Out Punch
1965;6;Sir Douglas Quintet;She's About A Mover
1965;7;O.V. Wright;Everybody Knows (The River Song)
1965;8;Roger Miller;King Of The Road
1965;9;Nara Leão;Carcará
1965;10;Petula Clark;Call Me
1965;11;The Four Tops;It's The Same Old Song
1965;12;The Brogues;I Ain't No Miracle Worker
1965;13;Wilson Pickett;In The Midnight Hour
1965;14;Small Faces;Whatcha Gonna Do About It
1965;15;Knut Kiesewetter;Glaub' doch nicht, ich lauf' dir hinterher
1965;16;Fontella Bass;Rescue Me
1965;17;The Miracles;The Tracks Of My Tears
1965;18;Jackson C. Frank;Blues Run The Game
1965;19;Astrud Gilberto;Água de beber
1965;20;Betty LaVette;Let Me Down Easy
1966;1;Peter-Thomas-Sound-Orchester;The Space Patrol's Return
1966;2;The Association;Along Comes Mary
1966;3;The Isley Brothers;This Old Heart Of Mine (Is Weak For You)
1966;4;Rod Stewart & P.P. Arnold;Come Home Baby
1966;5;The Beach Boys;God Only Knows
1966;6;The Byrds;Eight Miles High
1966;7;The Yardbirds;Over Under Sideways Down
1966;8;Tim Hardin;Reason To Believe
1966;9;Merle Haggard And The Strangers;I'm A Lonesome Fugitive
1966;10;Jimmy Ruffin;What Becomes Of The Brokenhearted
1966;11;The Walker Brothers;The Sun Ain't Gonna Shine Anymore
1966;12;Bobby Hebb;Sunny
1966;13;The Seeds;Pushin' Too Hard
1966;14;Loretta Lynn;Don't Come Home A' Drinkin' (With Lovin' On Your Mind)
1966;15;Percy Sledge;Warm And Tender Love
1966;16;The Mamas & The Papas;I Saw Her Again
1966;17;The Thirteenth Floor Elevators;You're Gonna Miss Me
1966;18;Love;7 & 7 Is
1966;19;Otis Redding;Try A Little Tenderness
1966;20;John Mayall & The Bluesbreakers with Eric Clapton;Ramblin' On My Mind
1967;1;Kaleidoscope;Kaleidoscope
1967;2;Small Faces;Here Come The Nice
1967;3;Aretha Franklin;Respect
1967;4;Jackie Wilson;(Your Love Keeps Lifting Me) Higher And Higher
1967;5;The Electric Prunes;The Great Banana Hoax
1967;6;Miriam Makeba;Pata Pata
1967;7;Jefferson Handkerchief;I'm Allergic To Flowers
1967;8;Thomas Natschinski und seine Gruppe;Mokka-Milch-Eisbar
1967;9;The Impressions;We're A Winner
1967;10;Donovan;Wear Your Love Like Heaven
1967;11;Tim Buckley;Morning Glory
1967;12;Phyllis Dillon;Don't Stay Away
1967;13;Buffalo Springfield;For What It's Worth
1967;14;Antonio Carlos Jobim;Wave
1967;15;Toussaint McCall;Nothing Takes The Place Of You
1967;16;Jefferson Airplane;White Rabbit
1967;17;James Brown;Bring It Up (Hipster's Avenue)
1967;18;John's Children;Desdemona
1967;19;The Velvet Underground;Venus In Furs
1967;20;Fred Neil;Everybody's Talkin'
1968;1;Jerry Butler;Only The Strong Survive
1968;2;The Byrds;Wasn't Born To Follow
1968;3;Van Morrison;The Way Young Lovers Do
1968;4;Hildegard Knef;Nichts haut mich um
1968;5;Dusty Springfield;Son-Of-A Preacher Man
1968;6;The Band;This Wheel's On Fire
1968;7;Blue Cheer;Second Time Around
1968;8;Fleetwood Mac;Black Magic Woman
1968;9;Tammy Wynette;Stand By Your Man
1968;10;Townes Van Zandt;Waiting Around To Die
1968;11;Randy Newman;I Think It's Going To Rain Today
1968;12;Johnny Cash;Folsom Prison Blues
1968;13;Marcos Valle;Crickets Sing For Anamaria
1968;14;The Staple Singers;Long Walk To D.C.
1968;15;Aretha Franklin;I Say A Little Prayer
1968;16;Love;Alone Again Or
1968;17;Desmond Dekker And The Aces;Israelites
1968;18;Caetano Veloso;Alegria, Alegria
1968;19;James Brown;Cold Sweat
1968;20;Dorothy Love Coates;Strange Man
1969;1;Canned Heat;Change My Ways
1969;2;Erma Franklin;Light My Fire
1969;3;The Temptations;I Can't Get Next To You
1969;4;Jimmy Cliff;Vietnam
1969;5;The Band;Whispering Pines
1969;6;Gal Costa;Tuareg
1969;7;Theo Schumann Combo;Derby
1969;8;The Delfonics;Ready Or Not Here I Come (Can't Hide From Love)
1969;9;Taj Mahal;Take A Giant Step
1969;10;John Lee Hooker;I Don't Wanna Go To Vietnam
1969;11;Fairport Convention;Who Knows Where The Time Goes?
1969;12;Archie Bell & The Drells;(There's Gonna Be A) Showdown
1969;13;Jackson 5;I Want You Back
1969;14;The Melodians;Rivers Of Babylon
1969;15;Dick Hyman;Give It Up Or Turn It Loose
1969;16;The Stooges;I Wanna Be Your Dog
1969;17;The Velvet Underground;Pale Blue Eyes
1969;18;Jane Birkin avec Serge Gainsbourg;Je t'aime... moi non plus
1969;19;Elvis Presley;Long Black Limousine
1969;20;Clarence Carter;Making Love (At The Dark End Of The Street)
1970;1;Spinners;It's A Shame
1970;2;Van Morrison;Moondance
1970;3;Vicki Anderson;The Message From The Soul Sisters
1970;4;The Velvet Underground;Sweet Jane
1970;5;The Allman Brothers Band;Midnight Rider
1970;6;O.V. Wright;Ace Of Spade
1970;7;Canned Heat;Let's Work Together
1970;8;Blood, Sweat & Tears;Fire And Rain
1970;9;Bob Marley And The Wailers;Duppy Conqueror
1970;10;Free;All Right Now
1970;11;Norman Greenbaum;Spirit In The Sky
1970;12;Michael Holm;Barfuß im Regen
1970;13;MC5;Looking At You
1970;14;Poco;You Better Think Twice
1970;15;Ivan Lins;Madalena
1970;16;Loretta Lynn;Coal Miner's Daughter
1970;17;Rod Stewart;Gasoline Alley
1970;18;James Brown;Sex Machine
1970;19;It's A Beautiful Day;The Dolphins
1970;20;Scott Walker;The War Is Over (Epilogue)
1971;1;Gene Clark;With Tomorrow
1971;2;Bob Dylan;George Jackson (Big Band Version)
1971;3;Marvin Gaye;Inner City Blues (Make Me Wanna Holler)
1971;4;Rory Gallagher;I'm Not Awake Yet
1971;5;Jean Knight;Mr. Big Stuff
1971;6;Chico Buarque;Cotidiano
1971;7;Burt Bacharach;Hasbrook Heights
1971;8;Cat Stevens;Peace Train
1971;9;Witthüser & Westrupp;Nimm einen Joint, mein Freund
1971;10;The Allman Brothers Band;Hot 'Lanta (Live)
1971;11;Edgar Broughton Band;Evening Over Rooftops
1971;12;Soft Machine;Kings And Queens
1971;13;Bill Withers;Ain't No Sunshine
1971;14;Peter Tosh;Here Comes The Judge
1971;15;Johnny Cash;Man In Black
1971;16;Isaac Hayes;"Theme From ""Shaft"""
1971;17;Sly & The Family Stone;Family Affair
1971;18;The Groundhogs;Split (Pt. 1)
1971;19;The Incredible String Band;Dear Old Battlefield
1971;20;Swamp Dogg;God Bless America, For What
1972;1;Bread;Everything I Own
1972;2;Bobby Womack & Peace;Across 110th Street
1972;3;The Undisputed Truth;Papa Was A Rollin' Stone
1972;4;Krug;Komm und spiel mit mir
1972;5;Lou Reed;Satellite Of Love
1972;6;Mott The Hoople;All The Young Dudes
1972;7;Alice Cooper;School's Out
1972;8;Bob Marley And The Wailers;Sun Is Shining
1972;9;The O'Jays;Back Stabbers
1972;10;Elton John;Rocket Man (I Think It's Going To Be A Long Long Time)
1972;11;Billy Paul;Me And Mrs. Jones
1972;12;Bonnie Raitt;Nothing Seems To Matter
1972;13;Little Feat;Willin'
1972;14;Mary Roos;Morgens um fünf
1972;15;Terry Callier;Ordinary Joe
1972;16;J.J. Cale;Call Me The Breeze
1972;17;John Prine;Yes I Guess They Oughta Name A Drink After You
1972;18;Joe Gibbs & The Professionals;Money In My Pocket
1972;19;Timmy Thomas;Why Can't We Live Together
1972;20;Hawkwind;Silver Machine
1973;1;Eric Weissberg & Steve Mandell;Dueling Banjos
1973;2;Brownsville Station;Smokin' In The Boys Room
1973;3;Earth, Wind & Fire;Evil
1973;4;Elton John;Daniel
1973;5;Gladys Knight & The Pips;Midnight Train To Georgia
1973;6;Toots And The Maytals;Funky Kingston
1973;7;Neu!;Super
1973;8;New York Dolls;Looking For A Kiss
1973;9;T. Rex;Shock Rock
1973;10;Mott The Hoople;All The Way From Memphis
1973;11;Ellen McIlwaine;Jimmy Jean
1973;12;Cymande;Willie's Headache
1973;13;Faces;Glad And Sorry
1973;14;Kevin Coyne;Eastbourne Ladies
1973;15;Otto;Tip Toe Through The Tulips
1973;16;John Fahey;Hawaiian Two-Step
1973;17;Ann Peebles;I'm Gonna Tear Your Playhouse Down
1973;18;Marvin Gaye;Where Are We Going?
1973;19;Michael Nesmith;Prairie Lullaby
1973;20;Roxy Music;In Every Dream Home A Heartache
1974;1;"Bobby ""Blue"" Bland";Ain't No Love In The Heart Of The City
1974;2;Dolly Parton;Jolene
1974;3;Eric Clapton;I Shot The Sheriff
1974;4;Bachman-Turner Overdrive;You Ain't Seen Nothin' Yet
1974;5;Udo Lindenberg & das Panik-Orchester;Ich bin von Kopf bis Fuß auf Liebe eingestellt
1974;6;Electric Light Orchestra;Can't Get It Out Of My Head
1974;7;David Allan Coe;Would You Lay With Me (In A Field Of Stone)
1974;8;The Meters;Africa
1974;9;Gil Scott-Heron / Brian Jackson;The Bottle
1974;10;Harmonia;Dino
1974;11;The Sweet;Fox On The Run
1974;12;Sparks;This Town Ain't Big Enough For Both Of Us
1974;13;Nina Hagen & Automobil;Du hast den Farbfilm vergessen
1974;14;Shuggie Otis;Aht Uh Mi Hed
1974;15;Tangerine Dream;Sequent C'
1974;16;Tom Waits;(Looking For) The Heart Of Saturday Night
1974;17;Daryl Hall & John Oates;She's Gone
1974;18;William DeVaughn;Be Thankful For What You Got
1974;19;Gene Clark;No Other
1974;20;Gram Parsons;In My Hour Of Darkness
1975;1;The Rance Allen Group;The Painter
1975;2;Chris Spedding;Motor Bikin'
1975;3;Al Green;L-O-V-E (Love)
1975;4;Ton Steine Scherben;Wenn die Nacht am tiefsten...
1975;5;Pete Wingfield;Eighteen With A Bullet
1975;6;Clara Nunes;A deusa dos orixás
1975;7;Roxy Music;Love Is The Drug
1975;8;Juliane Werding;Wenn du denkst du denkst dann denkst du nur du denkst
1975;9;Burning Spear;Marcus Garvey
1975;10;Mahmoud Ahmed;Ere mela mela / Meche neu
1975;11;Richard & Linda Thompson;Dimming Of The Day / Dargai
1975;12;Charles Williams;Standing In The Way
1975;13;Van McCoy & The Soul City Symphony;The Hustle
1975;14;Lynyrd Skynyrd;Saturday Night Special
1975;15;Bonnie Raitt;What Do You Want The Boy To Do?
1975;16;Brinsley Schwarz;There's A Cloud In My Heart
1975;17;Patti Smith;Gloria
1975;18;Status Quo;Down, Down
1975;19;Joy Fleming;Ein Lied kann eine Brücke sein
1975;20;Curtis Mayfield;Hard Times
1976;1;Boz Scaggs;Lowdown
1976;2;Blondie;X Offender
1976;3;Quantum Jump;The Lone Ranger
1976;4;Boston;More Than A Feeling
1976;5;J.J. Cale;Cocaine
1976;6;Kate & Anna McGarrigle;Kiss And Say Goodbye
1976;7;Junior Murvin;Police & Thieves
1976;8;Jonathan Richman & The Modern Lovers;Pablo Picasso
1976;9;Johnny Guitar Watson;Superman Lover
1976;10;Roy Ayers;Everybody Loves The Sunshine
1976;11;Kiss;Beth
1976;12;Genesis;Mad Man Moon
1976;13;Ramones;I Wanna Be Your Boyfriend
1976;14;The Damned;New Rose
1976;15;Jorge Ben;Taj Mahal
1976;16;Blue Öyster Cult;(Don't Fear) The Reaper
1976;17;Max Romeo & The Upsetters;Chase The Devil
1976;18;Lou Reed;Charley's Girl
1976;19;The Wild Tchoupitoulas;Hey Hey (Indians Comin')
1976;20;Laura Nyro;Sexy Mama
1977;1;Elvis Costello;(The Angels Wanna Wear My) Red Shoes
1977;2;Richard Hell & The Voidoids;Blank Generation
1977;3;Eugene Record;Overdose Of Joy
1977;4;Cheap Trick;I Want You To Want Me
1977;5;Donna Summer;I Feel Love
1977;6;The Congos;Solid Foundation
1977;7;Jimmy Buffett;Margaritaville
1977;8;Michael Franks;The Lady Wants To Know
1977;9;Nara Leão & Caetano Veloso;Odara
1977;10;Earth, Wind & Fire;Jupiter
1977;11;Weather Report;Birdland
1977;12;Parliament;Flash Light
1977;13;Althia & Donna;Up Town Top Ranking
1977;14;James Taylor;Bartender's Blues
1977;15;The Adverts;Gary Gilmore's Eyes
1977;16;Devo;Mongoloid
1977;17;Can;Sunshine Day And Night
1977;18;Al Green;Loving You
1977;19;Television;Friction
1977;20;Commodores;Easy
1978;1;Wire;Outdoor Miner
1978;2;Chic;I Want Your Love
1978;3;The Jam;Down In The Tube Station At Midnight
1978;4;Blondie;Denis
1978;5;Gloria Gaynor;This Love Affair
1978;6;The Only Ones;Another Girl, Another Planet
1978;7;The Normal;Warm Leatherette
1978;8;Max Berlin;Elle et moi
1978;9;Rose Royce;Love Don't Live Here Anymore
1978;10;Alcione;Sufôco
1978;11;Nina Hagen Band;Unbeschreiblich weiblich
1978;12;Ramones;I Wanna Be Sedated
1978;13;Lew Kirton;Heaven In The Afternoon
1978;14;Linda Clifford;You Are, You Are
1978;15;Sweet Talks;Angelina
1978;16;X-Ray Spex;Identity
1978;17;Buzzcocks;Ever Fallen In Love... (With Someone You Shouldn't've)?
1978;18;Patti Smith Group;Because The Night
1978;19;Warren Zevon;Accidentally Like A Martyr
1978;20;Marvin Gaye;Everybody Needs Love
1979;1;Marianne Faithfull;Broken English
1979;2;Buggles;Video Killed The Radio Star
1979;3;The Clash;Spanish Bombs
1979;4;Sugarhill Gang;Rapper's Delight
1979;5;Sister Sledge;Thinking Of You
1979;6;The Roches;We
1979;7;Rickie Lee Jones;Chuck E.'s In Love
1979;8;Frank Zappa;Bobby Brown
1979;9;Tubeway Army;Are 'Friends' Electric?
1979;10;The Flying Lizards;Money
1979;11;The Human League;Zero As A Limit
1979;12;Joe Jackson;Is She Really Going Out With Him?
